"layer,""label""";Reletant Target POS;UD Equivalent
"adj,""Cop""";;
"adj,""Ctrlr""";;
"adj,""Gov""";;
"adj,""Supp""";;
"adj,""X""";;
"adv,""Ctrlr""";;
"adv,""Gov""";;
"adv,""X""";;
"gf,""Appositive""";;
"gf,""Dep""";;
"gf,""Ext""";;
"gf,""Gen""";;
"gf,""Head""";;
"gf,""Obj""";;
"gf,""Quant""";;
"noun,""Cop""";;
"noun,""Ctrlr""";;
"noun,""Gov""";;
"noun,""Supp""";;
"noun,""X""";;
"other,""Ant""";;
"other,""Exist""";;
"other,""Null""";;
"other,""Rel""";;
"other,""Special-Other""";;
"prep,""Cop""";;
"prep,""Supp""";;
"pt,""A""";;
"pt,""AJP""";;
"pt,""AVP""";;
"pt,""N""";;
"pt,""NP""";;
"pt,""Num""";;
"pt,""Poss""";;
"pt,""PP""";;
"pt,""PPadjP""";;
"pt,""PPing""";;
"pt,""PPinterrog""";;
"pt,""QUO""";;
"pt,""Sabs""";;
"pt,""Sbrst""";;
"pt,""Sfin""";;
"pt,""Sforto""";;
"pt,""Sing""";;
"pt,""Sinterrog""";;
"pt,""Srel""";;
"pt,""Sto""";;
"pt,""Sub""";;
"pt,""Sun""";;
"pt,""Swhether""";;
"pt,""unknown""";;
"pt,""VPbrst""";;
"pt,""VPed""";;
"pt,""VPfin""";;
"pt,""VPing""";;
"pt,""VPto""";;
"pt,""VPtorel""";;
"sent,""Blend""";;
"sent,""Canonical""";;
"sent,""deleteS""";;
"sent,""Idiom""";;
"sent,""keepS""";;
"sent,""Metaphor""";;
"sent,""reexamine""";;
"sent,""sense1""";;
"sent,""sense2""";;
"sent,""sense3""";;
"sent,""sense4""";;
"sent,""sense5""";;
"sent,""sense6""";;
"sent,""sense7""";;
"sent,""sense8""";;
"sent,""sense9""";;
"sent,""Special-Sent""";;
"verb,""Asp""";;
"verb,""Non-Asp""";;